,input,output
2587,My little sister's slang is so cringeworthy. She's trying too hard.,My younger sister's slang is so embarrassing. She's trying too hard.
2588,"That new banger you played last night is fire, I’m obsessed.",I really like that new song you showed me last night.
2589,I'm just gonna vibe at home tonight and binge some flicks.,I'm just going to chill at home tonight and watch some movies.
2590,"Just dipped back from chillin' with my crew at the park, fr fr.",I just got back from hanging out with my friends at the park.
2591,Lowkey proud of this one.,Secretly proud of this one.
2592,"Bruh, I'm so drained after this full-on day, no cap.",I can't believe how tired I am after a long day.
2593,"I’m just vibing at home, scrolling through vids.",I’m just chilling at home and watching some videos.
2594,She's totally flexing with that new phone. I need an upgrade too.,She's showing off with her new phone. I need an upgrade for myself too.
2595,"She left my message on read, it's wraps",She read my message and didn't respond ' that's the end.
2596, Can you help me with the financial breakdown?,Could you assist with the financial analysis
2597,He said he doesn't like coffee... red flag.,Not enjoying coffee is a warning sign to me.
2598,That idea fits right in.,Your proposal aligns with our objectives.
2599,Think about how this'll play out down the road.,Please consider the long-term implications.
2600,Can we set a meeting time,I would like to request a meeting time
2601,I hit up the grocery to snag some snacks.,I went to the grocery store to pick up some food.
2602,Make sure all the data is logged correctly.,Please ensure all data is accurately recorded.
2603, Your initiative has helped everyone out!,Your proactive approach has benefited the entire team
2604,Sorry for the change trouble,I apologize for any inconvenience caused by the change
2605,She's mad pressed about that L she took.,She's very upset about the loss she experienced.
2606,I'm feeling hella tired after pulling an all-nighter.,I'm feeling very tired after staying up all night.
2607,Let's talk about this later.,We should revisit this topic later.
2608,Thanks for thinking about it.,Thank you for considering my request.
2609,It’s been great working with you.,It has been a pleasure working with you.
2610,"Yo, I'm just guding some coffee and then hitting up the mall, fr fr.",I'm just going to grab some coffee and then head to the mall.
2611,"I'm super drained today, I gotta catch some z's.","I'm really tired today, I think I need a nap."
2612,"You're a true homie, always there for me, thanks for being supportive.","You're a true friend, always there for me. Thanks for your support."
2613,"I'm dead tired after hitin' the books all day, just tryna chill now.","I'm really tired after studying all day, I just want to relax now."
2614,Thanks for digging deep into the analysis!,Thank you for your thorough analysis.
2615,My last brain cell when someone asks me a question.,I'm mentally checked out when asked questions.
2616,"His dance moves are fire, he should be on TikTok",His dance moves are impressive; he should be on TikTok.
2617,The place was amazing.,The venue was truly remarkable.
2618,Make sure you’re not late.,Please ensure that you are on time.
2619,I swear my charger works better when I'm not looking,My charger appears to function more efficiently when I am not observing it.
2620,"I can't even, that's so cringeworthy.",I can't even handle it; that's so cringeworthy.
2621,I'm just gon' vibe at my place and binge some flicks tonight.,I'm just going to chill at home and watch some movies tonight.
2622,Don't sleep on the risks.,We must not overlook the potential consequences.
2623,I'll hustle to wrap this up.,I will do my utmost to expedite the resolution.
2624,She's being extra and acting like a total pick-me.,She is behaving in an over-the-top way to gain attention and approval.
2625,I just saw a baby with more drip than me.,I just saw a baby dressed better than I am.
2626,The way my bank account just laughed at me,My bank account responded to my spending habits with mockery.
2627,"Yo, I just knocked out my homework and I'm so chill now.","Hey, I just finished my homework and I'm so relieved."
2628,"I'm just vibing at the park, soaking up the sun.","I'm just hanging out at the park, enjoying the sun."
2629,"I need someone to pay me to exist, this working thing is not it","I would appreciate financial compensation simply for existing, as traditional employment feels increasingly unsustainable."
2630,Feel free to contact me.,Please do not hesitate to reach out.
2631,I need to take a break and recharge my energy.,I need to take a break and recharge my energy.
2632,Just one good nap and I'd be a whole new person,"A single, restful nap could potentially transform my entire demeanor."
2633,My parents are so out of touch with trends.,My parents are so out of touch with current trends.
2634,He threw some major shade.,He made significant disapproving remarks.
2635,"Yo, just wrapped my homework, finna chill for a sec.","Hey, I just finished my homework and I'm gonna relax for a bit."
2636,"Yo, just crushed my homework and I'm vibing pretty hard.","Hey, I just finished my homework and I'm feeling pretty good."
2637,This coffee about to carry my whole mood today.,This coffee is improving my mood significantly.
2638,Make sure everyone on the team knows about the changes.,Please ensure all team members are informed of the changes.
2639,"Yo, you tryna link up later to vibe?","Hey, do you want to meet up later to hang out?"
2640,"Emotionally, I'm clocked out.",I'm done caring or mentally checked out.
2641,My situationship giving me whiplash atp,This undefined relationship is emotionally confusing.
2642,"This song is a bop, you have to listen to it, it's so catchy.",This song is great; you have to listen to it; it's very catchy.
2643,I'm just gonna chill and scroll through some vids tonight.,I'm just going to relax and watch some videos tonight.
2644,If I had a dollar for every time I said 'I'm tired' I'd be rich,"If I received money each time I said 'I'm tired,' I would be financially secure."
2645,Fix this issue now,We must address this issue immediately
2646,"Yo, did you wrap up your homework yet?","Hey, did you finish your homework yet?"
2647,"Their relationship is an on-again, off-again rollercoaster.",Their relationship is characterized by frequent ups and downs.
2648,You gotta show up to the party.,Your presence is requested at the event.
